[2026-08-29T22:12:11.915+03:00] INFO    VISION_RECONSTRUCTION  SCENE_018    SCENE_START
[2026-08-29T22:12:15.594+03:00] PASS    VISION_RECONSTRUCTION  SCENE_018    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=NATIVE_ALPHA_AUTHORITY major_groups=1 expected_units=1 reconstruction_mae=0.598 reconstruction_psnr=44.506 edge_touching=True isolated_worker=True progress=18/49
[2026-08-29T22:12:15.695+03:00] INFO    VISION_RECONSTRUCTION  SCENE_019    SCENE_START
[2026-08-29T22:12:22.053+03:00] PASS    VISION_RECONSTRUCTION  SCENE_019    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.3713 reconstruction_psnr=49.262 edge_touching=False isolated_worker=True progress=19/49
[2026-08-29T22:12:22.085+03:00] INFO    VISION_RECONSTRUCTION  SCENE_020    SCENE_START
[2026-08-29T22:12:28.264+03:00] PASS    VISION_RECONSTRUCTION  SCENE_020    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.4183 reconstruction_psnr=46.926 edge_touching=False isolated_worker=True progress=20/49
[2026-08-29T22:12:28.375+03:00] INFO    VISION_RECONSTRUCTION  SCENE_021    SCENE_START
[2026-08-29T22:12:35.111+03:00] PASS    VISION_RECONSTRUCTION  SCENE_021    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.286 reconstruction_psnr=47.595 edge_touching=True isolated_worker=True progress=21/49
[2026-08-29T22:12:35.127+03:00] INFO    VISION_RECONSTRUCTION  SCENE_022    SCENE_START
[2026-08-29T22:12:42.929+03:00] PASS    VISION_RECONSTRUCTION  SCENE_022    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.3615 reconstruction_psnr=48.026 edge_touching=False isolated_worker=True progress=22/49
[2026-08-29T22:12:43.103+03:00] INFO    VISION_RECONSTRUCTION  SCENE_023    SCENE_START
[2026-08-29T22:12:48.665+03:00] PASS    VISION_RECONSTRUCTION  SCENE_023    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=0.5243 reconstruction_psnr=41.281 edge_touching=False isolated_worker=True progress=23/49
[2026-08-29T22:12:48.719+03:00] INFO    VISION_RECONSTRUCTION  SCENE_024    SCENE_START
[2026-08-29T22:12:53.839+03:00] PASS    VISION_RECONSTRUCTION  SCENE_024    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.4166 reconstruction_psnr=47.327 edge_touching=False isolated_worker=True progress=24/49
[2026-08-29T22:12:53.913+03:00] INFO    VISION_RECONSTRUCTION  SCENE_025    SCENE_START
[2026-08-29T22:13:00.665+03:00] PASS    VISION_RECONSTRUCTION  SCENE_025    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.5957 reconstruction_psnr=41.097 edge_touching=True isolated_worker=True progress=25/49
[2026-08-29T22:13:00.794+03:00] INFO    VISION_RECONSTRUCTION  SCENE_026    SCENE_START
[2026-08-29T22:13:05.176+03:00] PASS    VISION_RECONSTRUCTION  SCENE_026    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.5586 reconstruction_psnr=43.752 edge_touching=False isolated_worker=True progress=26/49
[2026-08-29T22:13:05.322+03:00] INFO    VISION_RECONSTRUCTION  SCENE_027    SCENE_START
