[2026-08-29T22:10:10.470+03:00] PASS    VISION_RECONSTRUCTION  SCENE_019    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.3713 reconstruction_psnr=49.262 edge_touching=False isolated_worker=True progress=19/49
[2026-08-29T22:10:10.487+03:00] INFO    VISION_RECONSTRUCTION  SCENE_020    SCENE_START
[2026-08-29T22:10:19.708+03:00] PASS    VISION_RECONSTRUCTION  SCENE_020    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.4183 reconstruction_psnr=46.926 edge_touching=False isolated_worker=True progress=20/49
[2026-08-29T22:10:19.713+03:00] INFO    VISION_RECONSTRUCTION  SCENE_021    SCENE_START
[2026-08-29T22:10:30.209+03:00] PASS    VISION_RECONSTRUCTION  SCENE_021    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.286 reconstruction_psnr=47.595 edge_touching=True isolated_worker=True progress=21/49
[2026-08-29T22:10:30.213+03:00] INFO    VISION_RECONSTRUCTION  SCENE_022    SCENE_START
[2026-08-29T22:10:38.179+03:00] PASS    VISION_RECONSTRUCTION  SCENE_022    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.3615 reconstruction_psnr=48.026 edge_touching=False isolated_worker=True progress=22/49
[2026-08-29T22:10:38.183+03:00] INFO    VISION_RECONSTRUCTION  SCENE_023    SCENE_START
[2026-08-29T22:10:43.078+03:00] PASS    VISION_RECONSTRUCTION  SCENE_023    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=0.5243 reconstruction_psnr=41.281 edge_touching=False isolated_worker=True progress=23/49
[2026-08-29T22:10:43.081+03:00] INFO    VISION_RECONSTRUCTION  SCENE_024    SCENE_START
[2026-08-29T22:10:48.257+03:00] PASS    VISION_RECONSTRUCTION  SCENE_024    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.4166 reconstruction_psnr=47.327 edge_touching=False isolated_worker=True progress=24/49
[2026-08-29T22:10:48.260+03:00] INFO    VISION_RECONSTRUCTION  SCENE_025    SCENE_START
[2026-08-29T22:10:54.869+03:00] PASS    VISION_RECONSTRUCTION  SCENE_025    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.5957 reconstruction_psnr=41.097 edge_touching=True isolated_worker=True progress=25/49
[2026-08-29T22:10:54.871+03:00] INFO    VISION_RECONSTRUCTION  SCENE_026    SCENE_START
[2026-08-29T22:10:58.947+03:00] PASS    VISION_RECONSTRUCTION  SCENE_026    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.5586 reconstruction_psnr=43.752 edge_touching=False isolated_worker=True progress=26/49
[2026-08-29T22:10:58.950+03:00] INFO    VISION_RECONSTRUCTION  SCENE_027    SCENE_START
[2026-08-29T22:11:04.588+03:00] PASS    VISION_RECONSTRUCTION  SCENE_027    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.4382 reconstruction_psnr=44.921 edge_touching=False isolated_worker=True progress=27/49
[2026-08-29T22:11:04.602+03:00] INFO    VISION_RECONSTRUCTION  SCENE_028    SCENE_START
[2026-08-29T22:11:08.700+03:00] PASS    VISION_RECONSTRUCTION  SCENE_028    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.4255 reconstruction_psnr=45.516 edge_touching=False isolated_worker=True progress=28/49
[2026-08-29T22:11:08.727+03:00] INFO    VISION_RECONSTRUCTION  SCENE_029    SCENE_START
[2026-08-29T22:11:12.408+03:00] PASS    VISION_RECONSTRUCTION  SCENE_029    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.428 reconstruction_psnr=44.955 edge_touching=True isolated_worker=True progress=29/49
[2026-08-29T22:11:12.410+03:00] INFO    VISION_RECONSTRUCTION  SCENE_030    SCENE_START
[2026-08-29T22:11:17.644+03:00] PASS    VISION_RECONSTRUCTION  SCENE_030    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.4915 reconstruction_psnr=47.48 edge_touching=False isolated_worker=True progress=30/49
[2026-08-29T22:11:17.646+03:00] INFO    VISION_RECONSTRUCTION  SCENE_031    SCENE_START
[2026-08-29T22:11:20.276+03:00] PASS    VISION_RECONSTRUCTION  SCENE_031    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=NATIVE_ALPHA_AUTHORITY major_groups=1 expected_units=1 reconstruction_mae=1.1511 reconstruction_psnr=39.005 edge_touching=True isolated_worker=True progress=31/49
[2026-08-29T22:11:20.397+03:00] INFO    VISION_RECONSTRUCTION  SCENE_032    SCENE_START
[2026-08-29T22:11:22.861+03:00] PASS    VISION_RECONSTRUCTION  SCENE_032    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=NATIVE_ALPHA_AUTHORITY major_groups=1 expected_units=1 reconstruction_mae=2.0893 reconstruction_psnr=32.314 edge_touching=False isolated_worker=True progress=32/49
[2026-08-29T22:11:22.897+03:00] INFO    VISION_RECONSTRUCTION  SCENE_033    SCENE_START
[2026-08-29T22:11:28.171+03:00] PASS    VISION_RECONSTRUCTION  SCENE_033    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.3902 reconstruction_psnr=44.847 edge_touching=True isolated_worker=True progress=33/49
[2026-08-29T22:11:28.174+03:00] INFO    VISION_RECONSTRUCTION  SCENE_034    SCENE_START
[2026-08-29T22:11:31.743+03:00] PASS    VISION_RECONSTRUCTION  SCENE_034    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=0.4956 reconstruction_psnr=43.149 edge_touching=True isolated_worker=True progress=34/49
[2026-08-29T22:11:32.202+03:00] INFO    VISION_RECONSTRUCTION  SCENE_035    SCENE_START
[2026-08-29T22:11:35.804+03:00] PASS    VISION_RECONSTRUCTION  SCENE_035    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.5184 reconstruction_psnr=45.161 edge_touching=True isolated_worker=True progress=35/49
[2026-08-29T22:11:35.918+03:00] INFO    VISION_RECONSTRUCTION  SCENE_036    SCENE_START
[2026-08-29T22:11:39.666+03:00] PASS    VISION_RECONSTRUCTION  SCENE_036    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.6281 reconstruction_psnr=43.572 edge_touching=True isolated_worker=True progress=36/49
[2026-08-29T22:11:39.775+03:00] INFO    VISION_RECONSTRUCTION  SCENE_037    SCENE_START
[2026-08-29T22:11:46.286+03:00] PASS    VISION_RECONSTRUCTION  SCENE_037    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.5093 reconstruction_psnr=44.64 edge_touching=True isolated_worker=True progress=37/49
[2026-08-29T22:11:46.354+03:00] INFO    VISION_RECONSTRUCTION  SCENE_038    SCENE_START
[2026-08-29T22:11:48.713+03:00] PASS    VISION_RECONSTRUCTION  SCENE_038    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=NATIVE_ALPHA_AUTHORITY major_groups=1 expected_units=1 reconstruction_mae=0.9358 reconstruction_psnr=39.139 edge_touching=True isolated_worker=True progress=38/49
[2026-08-29T22:11:50.038+03:00] INFO    VISION_RECONSTRUCTION  SCENE_039    SCENE_START
[2026-08-29T22:11:56.118+03:00] PASS    VISION_RECONSTRUCTION  SCENE_039    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=0.3612 reconstruction_psnr=46.347 edge_touching=False isolated_worker=True progress=39/49
[2026-08-29T22:11:57.933+03:00] INFO    VISION_RECONSTRUCTION  SCENE_040    SCENE_START
[2026-08-29T22:12:01.673+03:00] PASS    VISION_RECONSTRUCTION  SCENE_040    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=1.1117 reconstruction_psnr=38.974 edge_touching=False isolated_worker=True progress=40/49
[2026-08-29T22:12:01.676+03:00] INFO    VISION_RECONSTRUCTION  SCENE_041    SCENE_START
[2026-08-29T22:12:06.604+03:00] PASS    VISION_RECONSTRUCTION  SCENE_041    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=0.3627 reconstruction_psnr=46.232 edge_touching=False isolated_worker=True progress=41/49
[2026-08-29T22:12:06.607+03:00] INFO    VISION_RECONSTRUCTION  SCENE_042    SCENE_START
[2026-08-29T22:12:09.892+03:00] PASS    VISION_RECONSTRUCTION  SCENE_042    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=NATIVE_ALPHA_AUTHORITY major_groups=1 expected_units=1 reconstruction_mae=1.3084 reconstruction_psnr=37.759 edge_touching=True isolated_worker=True progress=42/49
[2026-08-29T22:12:09.971+03:00] INFO    VISION_RECONSTRUCTION  SCENE_043    SCENE_START
[2026-08-29T22:12:15.165+03:00] PASS    VISION_RECONSTRUCTION  SCENE_043    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.3437 reconstruction_psnr=50.204 edge_touching=True isolated_worker=True progress=43/49
[2026-08-29T22:12:15.259+03:00] INFO    VISION_RECONSTRUCTION  SCENE_044    SCENE_START
[2026-08-29T22:12:18.328+03:00] PASS    VISION_RECONSTRUCTION  SCENE_044    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=NATIVE_ALPHA_AUTHORITY major_groups=1 expected_units=1 reconstruction_mae=1.6102 reconstruction_psnr=34.301 edge_touching=False isolated_worker=True progress=44/49
[2026-08-29T22:12:18.331+03:00] INFO    VISION_RECONSTRUCTION  SCENE_045    SCENE_START
[2026-08-29T22:12:23.061+03:00] PASS    VISION_RECONSTRUCTION  SCENE_045    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.4885 reconstruction_psnr=43.748 edge_touching=False isolated_worker=True progress=45/49
[2026-08-29T22:12:23.064+03:00] INFO    VISION_RECONSTRUCTION  SCENE_046    SCENE_START
[2026-08-29T22:12:26.826+03:00] PASS    VISION_RECONSTRUCTION  SCENE_046    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.6768 reconstruction_psnr=42.078 edge_touching=False isolated_worker=True progress=46/49
[2026-08-29T22:12:26.835+03:00] INFO    VISION_RECONSTRUCTION  SCENE_047    SCENE_START
[2026-08-29T22:12:32.137+03:00] PASS    VISION_RECONSTRUCTION  SCENE_047    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=0.42 reconstruction_psnr=44.063 edge_touching=False isolated_worker=True progress=47/49
[2026-08-29T22:12:32.140+03:00] INFO    VISION_RECONSTRUCTION  SCENE_048    SCENE_START
[2026-08-29T22:12:38.378+03:00] PASS    VISION_RECONSTRUCTION  SCENE_048    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=0.4296 reconstruction_psnr=44.049 edge_touching=False isolated_worker=True progress=48/49
[2026-08-29T22:12:38.407+03:00] INFO    VISION_RECONSTRUCTION  SCENE_049    SCENE_START
[2026-08-29T22:12:45.540+03:00] PASS    VISION_RECONSTRUCTION  SCENE_049    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.4644 reconstruction_psnr=43.527 edge_touching=True isolated_worker=True progress=49/49
[2026-08-29T22:12:45.598+03:00] INFO    MOTION_DIRECTOR        -            PHASE_START
[2026-08-29T22:13:42.878+03:00] PASS    MOTION_DIRECTOR        -            MOTION_PLAN_BUILT | event_count=70 scene_count=49 visual_cards=21 fps=30.0 motion_dna=HEXA_MOTION_DNA_V31_0_25_PREMIUM_MOTION_LANGUAGE story_actions=0 choreography_actions=134 suppressed_events=3 subobject_cutouts=0
[2026-08-29T22:13:43.111+03:00] PASS    MOTION_DIRECTOR        -            VISUAL_DENSITY_PLAN_EVALUATED | median_union_coverage=0.454097 estimated_alpha_coverage=0.093031 mean_temporal_population=1.647705 near_blank_seconds=0.9 static_hold_ratio=0.517839 hard_under_density_cards=[]
[2026-08-29T22:13:43.340+03:00] PASS    MOTION_DIRECTOR        -            USER_PRESET_MOTION_QA_PASS | event_count=70 visual_cards=21 relationship_actions=0 motion_dna=HEXA_MOTION_DNA_V31_0_25_PREMIUM_MOTION_LANGUAGE
[2026-08-29T22:13:43.412+03:00] INFO    USER_PRESET_STORY_LOCK -            PHASE_START
[2026-08-29T22:13:43.940+03:00] ERROR   USER_PRESET_STORY_LOCK -            BUILD_FAILURE - Semantic timeline coverage gates failed | exception_type=BuildFailure
[2026-08-29T22:13:44.528+03:00] ERROR   USER_PRESET_STORY_LOCK -            BUILD_FINALIZED | status=FAIL
